n_estimators,test-mlogloss-mean,test-mlogloss-std,train-mlogloss-mean,train-mlogloss-std
0,1.03931166667,0.000444418221449,1.03842766667,0.000287474443309
1,0.988635333333,0.000501737204343,0.986805666667,0.000296733700292
2,0.945492666667,0.000867737415479,0.942663666667,0.000733194077687
3,0.908741666667,0.00121571003487,0.905115666667,0.0004549537217
4,0.876561333333,0.00104386280495,0.872135,0.00038252930171
5,0.848173,0.00102250509371,0.842974,0.000337088514587
6,0.823849666667,0.00114228902745,0.817691,2.59358182186e-05
7,0.802197666667,0.00108692726936,0.795326,0.000311258734817
8,0.78311,0.0012310908442,0.775405333333,0.000211943912916
9,0.766485,0.00110638992524,0.757945333333,0.000524901472236
10,0.751283,0.00139044093726,0.742038666667,0.000661912548772
11,0.737882,0.00137555879554,0.727838666667,0.000856654863732
12,0.725827,0.00148681023223,0.715127,0.000980216642721
13,0.715279,0.00152816055003,0.703859333333,0.00106509008487
14,0.705643666667,0.00168408260552,0.693409666667,0.000966361676025
15,0.696891333333,0.00151265469365,0.684039333333,0.00105823038869
16,0.688850666667,0.00142010476922,0.675294,0.00139376636014
17,0.681868666667,0.00158407919275,0.667668666667,0.00118105752988
18,0.675623666667,0.00153615761633,0.660750333333,0.00140044976902
19,0.669888333333,0.00143230591084,0.65432,0.00144711367902
20,0.664764,0.00128477858015,0.648522333333,0.00155621813667
21,0.660185,0.00133096456251,0.64323,0.00151163752269
22,0.655994333333,0.00122000555554,0.638343333333,0.00171728668415
23,0.652102333333,0.00116486460825,0.633761666667,0.00163553708474
24,0.64843,0.00103675744511,0.629383,0.00184203311588
25,0.645315666667,0.00113332235289,0.62554,0.00168820397662
26,0.642175666667,0.00136698752331,0.621791333333,0.00167516493384
27,0.639141666667,0.00140323538851,0.618056,0.00149688142483
28,0.636566,0.00149198949952,0.614964666667,0.00158908806832
29,0.634071333333,0.00160768867909,0.611789666667,0.00143369111814
30,0.631932666667,0.00160260128818,0.609040333333,0.00150867498893
31,0.630102666667,0.00158784976899,0.606609,0.00161636402666
32,0.628186333333,0.00144860423243,0.604117666667,0.00168959488899
33,0.626402,0.00150916489048,0.601736666667,0.00160047749819
34,0.624800333333,0.00148304469102,0.599598333333,0.00170981798901
35,0.623142,0.00155455545629,0.597364333333,0.00140173828592
36,0.621675333333,0.00142951398112,0.595440666667,0.00138358768746
37,0.620355,0.00130915647142,0.593404333333,0.00143481760358
38,0.618980666667,0.00130891541192,0.591514333333,0.00131070879892
39,0.617671333333,0.00132037629317,0.589584333333,0.00128870124113
40,0.616341666667,0.0013102010872,0.587703666667,0.00114526629606
41,0.615205,0.00131723219922,0.586027333333,0.00120562800602
42,0.614009,0.00127814892194,0.584238333333,0.00116422344171
43,0.612908333333,0.00137879955839,0.582560333333,0.000946694365792
44,0.611915666667,0.00136472129837,0.581087,0.000940665012992
45,0.610997,0.00134246638692,0.579612333333,0.00108249167305
46,0.610114,0.00138288490724,0.578259,0.00098008060893
47,0.609308,0.00142696904895,0.577038,0.000898619311314
48,0.608394,0.00146032393667,0.575650333333,0.000859358029125
49,0.607451666667,0.00151792058056,0.574161666667,0.00100331461777
50,0.606719,0.00152385497998,0.572877333333,0.00118002721249
51,0.605876666667,0.00141888814061,0.571472,0.00122504231219
52,0.605145666667,0.00128712427096,0.570305666667,0.00136915578206
53,0.604371666667,0.00138623238392,0.568957,0.00122473099087
54,0.603827333333,0.00138684686329,0.567908,0.00127875173509
55,0.603179666667,0.00151245260715,0.566697333333,0.00136664317053
56,0.602792333333,0.00146400030358,0.565769333333,0.00131899086005
57,0.602268333333,0.00150882301444,0.564505,0.00129918666865
58,0.601656666667,0.00156434231832,0.563364333333,0.00128338675213
59,0.601084333333,0.00153075457065,0.562359666667,0.00143658630866
60,0.600483333333,0.0016219579389,0.561250666667,0.00133370669772
61,0.599886,0.00147907426002,0.560145666667,0.00135835349678
62,0.599405666667,0.00149173955129,0.559099,0.00139801740571
63,0.598876333333,0.00157913907628,0.558014,0.00124937984616
64,0.59832,0.00155752774186,0.557058666667,0.00126752628726
65,0.597873,0.00161539406957,0.556125333333,0.00118628392704
66,0.597545,0.00162343524663,0.555269,0.00114326666472
67,0.597096,0.00166871227798,0.554537,0.00102718644851
68,0.596697666667,0.00168105766971,0.553524,0.000994426803071
69,0.596235,0.00169673647532,0.552568333333,0.000946176281438
70,0.595881666667,0.00170481696639,0.551741666667,0.00106968853203
71,0.595418666667,0.00157121446305,0.550756666667,0.00118187685014
72,0.594949333333,0.00160148042622,0.549836666667,0.00110722786975
73,0.594609666667,0.00167043753417,0.549070666667,0.000918210336591
74,0.594233666667,0.00162552972562,0.548253666667,0.00111649162807
75,0.593888,0.00161534392623,0.547465,0.0011584647887
76,0.593575666667,0.00159037822196,0.546612333333,0.00114022171333
77,0.59322,0.00148713751886,0.545928333333,0.0012791623127
78,0.592906666667,0.0014566565217,0.545072333333,0.00140821644485
79,0.592620666667,0.00135610479765,0.544378666667,0.00140804766333
80,0.592312666667,0.00135572891423,0.543649,0.00142451839815
81,0.591927333333,0.00142242148778,0.542822666667,0.00126307094901
82,0.591643333333,0.00143618019606,0.541978333333,0.00115674898842
83,0.591235333333,0.00136132345736,0.541099333333,0.00116011273399
84,0.590978333333,0.00143914241439,0.540351666667,0.000983350169347
85,0.590674333333,0.00140543856342,0.539624666667,0.00112908970217
86,0.590396333333,0.0013706918772,0.538794333333,0.00113943914079
87,0.590122666667,0.00131383670556,0.538050333333,0.00110968654233
88,0.589948,0.00138586026232,0.537478333333,0.00106858483779
89,0.589748666667,0.00139581525361,0.536815,0.00104076029901
90,0.589649,0.00142002276977,0.536229666667,0.00104727148131
91,0.589503333333,0.0014117866537,0.535529333333,0.000899103380535
92,0.589200333333,0.0014535605327,0.534801666667,0.000929710468671
93,0.588941,0.00137004549803,0.534223666667,0.00094700733307
94,0.588818666667,0.00136985944129,0.533518666667,0.000887504866966
95,0.588644666667,0.00139436158231,0.532889666667,0.000774521501029
96,0.588307666667,0.00151304821103,0.532116666667,0.000738182151565
97,0.588044,0.00151635440009,0.531397,0.000635784554704
98,0.587819666667,0.0015467560319,0.530706333333,0.000657758989972
99,0.587586666667,0.00156693274336,0.530036,0.000636035114335
100,0.58741,0.00158394465392,0.529407333333,0.000663413562987
101,0.587280333333,0.00157577585829,0.528892666667,0.000692129242908
102,0.587137333333,0.00159942621656,0.528269333333,0.000628716328897
103,0.586954,0.00156501267301,0.527633,0.00076423425728
104,0.586777666667,0.00162893837275,0.527054,0.000642389290073
105,0.586572333333,0.00168774925731,0.526501333333,0.000665046030153
106,0.586387333333,0.00173712335646,0.526015666667,0.00062140182026
107,0.586215333333,0.00168291361104,0.525436666667,0.000662115968359
108,0.585983333333,0.00164525202392,0.524844333333,0.000698295703043
109,0.585824,0.0016070652341,0.524233,0.000656027946559
110,0.58566,0.00167257306766,0.523595666667,0.000558981414917
